,"Labor Force Data by County, 1997 Annual Averages",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,,,,,,,
1,,State,County,,,,,,,Unemploy-
2,LAUS,FIPS,FIPS,,,,Labor,,,ment Rate
3,Code,Code,Code,County Name/State Abbreviation,Year,,Force,Employed,Unemployed,(%)
4,,,,,,,,,,
5,CN0100100000000,01,001,"Autauga County, AL",1997,,21098,20269,829,3.9
6,CN0100300000000,01,003,"Baldwin County, AL",1997,,67150,64799,2351,3.5
7,CN0100500000000,01,005,"Barbour County, AL",1997,,12484,11565,919,7.4
8,CN0100700000000,01,007,"Bibb County, AL",1997,,8039,7436,603,7.5
9,CN0100900000000,01,009,"Blount County, AL",1997,,22684,22003,681,3
10,CN0101100000000,01,011,"Bullock County, AL",1997,,4586,4108,478,10.4
11,CN0101300000000,01,013,"Butler County, AL",1997,,9918,8940,978,9.9
12,CN0101500000000,01,015,"Calhoun County, AL",1997,,54241,51234,3007,5.5
13,CN0101700000000,01,017,"Chambers County, AL",1997,,17033,16245,788,4.6
14,CN0101900000000,01,019,"Cherokee County, AL",1997,,10737,10298,439,4.1
15,CN0102100000000,01,021,"Chilton County, AL",1997,,18259,17360,899,4.9
16,CN0102300000000,01,023,"Choctaw County, AL",1997,,5985,5114,871,14.6
17,CN0102500000000,01,025,"Clarke County, AL",1997,,14584,13147,1437,9.9
18,CN0102700000000,01,027,"Clay County, AL",1997,,6705,6398,307,4.6
19,CN0102900000000,01,029,"Cleburne County, AL",1997,,7270,7013,257,3.5
20,CN0103100000000,01,031,"Coffee County, AL",1997,,22005,21127,878,4
21,CN0103300000000,01,033,"Colbert County, AL",1997,,27064,25117,1947,7.2
22,CN0103500000000,01,035,"Conecuh County, AL",1997,,6760,6051,709,10.5
23,CN0103700000000,01,037,"Coosa County, AL",1997,,5320,5086,234,4.4
24,CN0103900000000,01,039,"Covington County, AL",1997,,17666,16468,1198,6.8
25,CN0104100000000,01,041,"Crenshaw County, AL",1997,,5932,5442,490,8.3
26,CN0104300000000,01,043,"Cullman County, AL",1997,,38577,36969,1608,4.2
27,CN0104500000000,01,045,"Dale County, AL",1997,,21211,20044,1167,5.5
28,CN0104700000000,01,047,"Dallas County, AL",1997,,20245,18010,2235,11
29,CN0104900000000,01,049,"DeKalb County, AL",1997,,32164,30497,1667,5.2
30,CN0105100000000,01,051,"Elmore County, AL",1997,,28481,27449,1032,3.6
31,CN0105300000000,01,053,"Escambia County, AL",1997,,16896,15788,1108,6.6
32,CN0105500000000,01,055,"Etowah County, AL",1997,,49449,46921,2528,5.1
33,CN0105700000000,01,057,"Fayette County, AL",1997,,8641,8219,422,4.9
34,CN0105900000000,01,059,"Franklin County, AL",1997,,16841,15422,1419,8.4
35,CN0106100000000,01,061,"Geneva County, AL",1997,,12045,11338,707,5.9
36,CN0106300000000,01,063,"Greene County, AL",1997,,3507,2855,652,18.6
37,CN0106500000000,01,065,"Hale County, AL",1997,,7392,6823,569,7.7
38,CN0106700000000,01,067,"Henry County, AL",1997,,6456,6087,369,5.7
39,CN0106900000000,01,069,"Houston County, AL",1997,,44543,42577,1966,4.4
40,CN0107100000000,01,071,"Jackson County, AL",1997,,26010,23884,2126,8.2
41,CN0107300000000,01,073,"Jefferson County, AL",1997,,333502,321342,12160,3.6
42,CN0107500000000,01,075,"Lamar County, AL",1997,,7762,7106,656,8.5
43,CN0107700000000,01,077,"Lauderdale County, AL",1997,,43181,40531,2650,6.1
44,CN0107900000000,01,079,"Lawrence County, AL",1997,,16130,15060,1070,6.6
45,CN0108100000000,01,081,"Lee County, AL",1997,,49626,47760,1866,3.8
46,CN0108300000000,01,083,"Limestone County, AL",1997,,28289,27168,1121,4
47,CN0108500000000,01,085,"Lowndes County, AL",1997,,4332,3711,621,14.3
48,CN0108700000000,01,087,"Macon County, AL",1997,,8029,7383,646,8
49,CN0108900000000,01,089,"Madison County, AL",1997,,139304,135261,4043,2.9
50,CN0109100000000,01,091,"Marengo County, AL",1997,,10991,9887,1104,10
51,CN0109300000000,01,093,"Marion County, AL",1997,,16115,14820,1295,8
52,CN0109500000000,01,095,"Marshall County, AL",1997,,40409,38174,2235,5.5
53,CN0109700000000,01,097,"Mobile County, AL",1997,,197965,187476,10489,5.3
54,CN0109900000000,01,099,"Monroe County, AL",1997,,10231,8685,1546,15.1
55,CN0110100000000,01,101,"Montgomery County, AL",1997,,109850,105063,4787,4.4
56,CN0110300000000,01,103,"Morgan County, AL",1997,,55021,52419,2602,4.7
57,CN0110500000000,01,105,"Perry County, AL",1997,,4505,4045,460,10.2
58,CN0110700000000,01,107,"Pickens County, AL",1997,,8824,8131,693,7.9
59,CN0110900000000,01,109,"Pike County, AL",1997,,13437,12538,899,6.7
60,CN0111100000000,01,111,"Randolph County, AL",1997,,9517,9073,444,4.7
61,CN0111300000000,01,113,"Russell County, AL",1997,,25219,24073,1146,4.5
62,CN0111500000000,01,115,"St. Clair County, AL",1997,,29781,28786,995,3.3
63,CN0111700000000,01,117,"Shelby County, AL",1997,,76505,75104,1401,1.8
64,CN0111900000000,01,119,"Sumter County, AL",1997,,6088,5337,751,12.3
65,CN0112100000000,01,121,"Talladega County, AL",1997,,35408,33008,2400,6.8
66,CN0112300000000,01,123,"Tallapoosa County, AL",1997,,20501,19442,1059,5.2
67,CN0112500000000,01,125,"Tuscaloosa County, AL",1997,,81348,78651,2697,3.3
68,CN0112700000000,01,127,"Walker County, AL",1997,,30162,27780,2382,7.9
69,CN0112900000000,01,129,"Washington County, AL",1997,,6484,5621,863,13.3
70,CN0113100000000,01,131,"Wilcox County, AL",1997,,3908,3355,553,14.2
71,CN0113300000000,01,133,"Winston County, AL",1997,,13175,12175,1000,7.6
72,CN0201300000000,02,013,"Aleutians East Borough, AK",1997,,1572,1515,57,3.6
73,CN0201600000000,02,016,"Aleutians West Census Area, AK",1997,,2262,2134,128,5.7
74,CN0202000000000,02,020,"Anchorage Borough/municipality, AK",1997,,137585,130388,7197,5.2
75,CN0205000000000,02,050,"Bethel Census Area, AK",1997,,5833,5358,475,8.1
76,CN0206000000000,02,060,"Bristol Bay Borough, AK",1997,,597,552,45,7.5
77,CN0206800000000,02,068,"Denali Borough, AK",1997,,1230,1102,128,10.4
78,CN0207000000000,02,070,"Dillingham Census Area, AK",1997,,1671,1560,111,6.6
79,CN0209000000000,02,090,"Fairbanks North Star Borough, AK",1997,,43418,40445,2973,6.8
80,CN0210000000000,02,100,"Haines Borough, AK",1997,,1200,1072,128,10.7
81,CN0211000000000,02,110,"Juneau Borough/city, AK",1997,,17338,16349,989,5.7
82,CN0212200000000,02,122,"Kenai Peninsula Borough, AK",1997,,22062,19347,2715,12.3
83,CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",1997,,7608,6954,654,8.6
84,CN0215000000000,02,150,"Kodiak Island Borough, AK",1997,,7352,6690,662,9
85,CN0215800000000,02,158,"Kusilvak Census Area, AK",1997,,1963,1740,223,11.4
86,CN0216400000000,02,164,"Lake and Peninsula Borough, AK",1997,,568,530,38,6.7
87,CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",1997,,28173,25494,2679,9.5
88,CN0218000000000,02,180,"Nome Census Area, AK",1997,,3310,2955,355,10.7
89,CN0218500000000,02,185,"North Slope Borough, AK",1997,,3256,3094,162,5
90,CN0218800000000,02,188,"Northwest Arctic Borough, AK",1997,,2180,1860,320,14.7
91,CN0220100000000,02,201,"Prince of Wales-Outer Ketchikan Census Area, AK",1997,,3411,2980,431,12.6
92,CN0222000000000,02,220,"Sitka Borough/city, AK",1997,,4522,4253,269,5.9
93,CN0223200000000,02,232,"Skagway-Hoonah-Angoon Census Area, AK",1997,,2290,2136,154,6.7
94,CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",1997,,2470,2189,281,11.4
95,CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",1997,,5360,4822,538,10
96,CN0228000000000,02,280,"Wrangell-Petersburg Census Area, AK",1997,,3640,3304,336,9.2
