,"Labor Force Data by County, 1998 Annual Averages",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,,,,,,,
1,,State,County,,,,,,,Unemploy-
2,LAUS,FIPS,FIPS,,,,Labor,,,ment Rate
3,Code,Code,Code,County Name/State Abbreviation,Year,,Force,Employed,Unemployed,(%)
4,,,,,,,,,,
5,CN0100100000000,01,001,"Autauga County, AL",1998,,21628,20947,681,3.1
6,CN0100300000000,01,003,"Baldwin County, AL",1998,,69285,67354,1931,2.8
7,CN0100500000000,01,005,"Barbour County, AL",1998,,12826,12201,625,4.9
8,CN0100700000000,01,007,"Bibb County, AL",1998,,7755,7211,544,7
9,CN0100900000000,01,009,"Blount County, AL",1998,,23611,22839,772,3.3
10,CN0101100000000,01,011,"Bullock County, AL",1998,,4552,4076,476,10.5
11,CN0101300000000,01,013,"Butler County, AL",1998,,10020,8921,1099,11
12,CN0101500000000,01,015,"Calhoun County, AL",1998,,54358,51803,2555,4.7
13,CN0101700000000,01,017,"Chambers County, AL",1998,,16870,16162,708,4.2
14,CN0101900000000,01,019,"Cherokee County, AL",1998,,10282,9839,443,4.3
15,CN0102100000000,01,021,"Chilton County, AL",1998,,18010,17200,810,4.5
16,CN0102300000000,01,023,"Choctaw County, AL",1998,,5577,4955,622,11.2
17,CN0102500000000,01,025,"Clarke County, AL",1998,,13723,12512,1211,8.8
18,CN0102700000000,01,027,"Clay County, AL",1998,,6668,6426,242,3.6
19,CN0102900000000,01,029,"Cleburne County, AL",1998,,7257,6988,269,3.7
20,CN0103100000000,01,031,"Coffee County, AL",1998,,21841,20958,883,4
21,CN0103300000000,01,033,"Colbert County, AL",1998,,26136,24056,2080,8
22,CN0103500000000,01,035,"Conecuh County, AL",1998,,6454,5887,567,8.8
23,CN0103700000000,01,037,"Coosa County, AL",1998,,5318,5090,228,4.3
24,CN0103900000000,01,039,"Covington County, AL",1998,,17243,16098,1145,6.6
25,CN0104100000000,01,041,"Crenshaw County, AL",1998,,5605,5144,461,8.2
26,CN0104300000000,01,043,"Cullman County, AL",1998,,38708,37325,1383,3.6
27,CN0104500000000,01,045,"Dale County, AL",1998,,20874,20010,864,4.1
28,CN0104700000000,01,047,"Dallas County, AL",1998,,19897,17883,2014,10.1
29,CN0104900000000,01,049,"DeKalb County, AL",1998,,32099,30715,1384,4.3
30,CN0105100000000,01,051,"Elmore County, AL",1998,,29450,28581,869,3
31,CN0105300000000,01,053,"Escambia County, AL",1998,,16422,15418,1004,6.1
32,CN0105500000000,01,055,"Etowah County, AL",1998,,49893,47367,2526,5.1
33,CN0105700000000,01,057,"Fayette County, AL",1998,,8273,7670,603,7.3
34,CN0105900000000,01,059,"Franklin County, AL",1998,,17047,15765,1282,7.5
35,CN0106100000000,01,061,"Geneva County, AL",1998,,11334,10630,704,6.2
36,CN0106300000000,01,063,"Greene County, AL",1998,,3255,2815,440,13.5
37,CN0106500000000,01,065,"Hale County, AL",1998,,7368,6811,557,7.6
38,CN0106700000000,01,067,"Henry County, AL",1998,,6412,6087,325,5.1
39,CN0106900000000,01,069,"Houston County, AL",1998,,44396,42895,1501,3.4
40,CN0107100000000,01,071,"Jackson County, AL",1998,,25246,23687,1559,6.2
41,CN0107300000000,01,073,"Jefferson County, AL",1998,,334528,323690,10838,3.2
42,CN0107500000000,01,075,"Lamar County, AL",1998,,7479,6870,609,8.1
43,CN0107700000000,01,077,"Lauderdale County, AL",1998,,41893,39004,2889,6.9
44,CN0107900000000,01,079,"Lawrence County, AL",1998,,16302,15402,900,5.5
45,CN0108100000000,01,081,"Lee County, AL",1998,,48731,46987,1744,3.6
46,CN0108300000000,01,083,"Limestone County, AL",1998,,28911,27730,1181,4.1
47,CN0108500000000,01,085,"Lowndes County, AL",1998,,4064,3613,451,11.1
48,CN0108700000000,01,087,"Macon County, AL",1998,,7986,7347,639,8
49,CN0108900000000,01,089,"Madison County, AL",1998,,141840,137842,3998,2.8
50,CN0109100000000,01,091,"Marengo County, AL",1998,,11072,10251,821,7.4
51,CN0109300000000,01,093,"Marion County, AL",1998,,16433,15283,1150,7
52,CN0109500000000,01,095,"Marshall County, AL",1998,,40162,37688,2474,6.2
53,CN0109700000000,01,097,"Mobile County, AL",1998,,198026,189259,8767,4.4
54,CN0109900000000,01,099,"Monroe County, AL",1998,,9526,8439,1087,11.4
55,CN0110100000000,01,101,"Montgomery County, AL",1998,,109888,106015,3873,3.5
56,CN0110300000000,01,103,"Morgan County, AL",1998,,56054,53823,2231,4
57,CN0110500000000,01,105,"Perry County, AL",1998,,4443,4055,388,8.7
58,CN0110700000000,01,107,"Pickens County, AL",1998,,8699,8002,697,8
59,CN0110900000000,01,109,"Pike County, AL",1998,,13209,12530,679,5.1
60,CN0111100000000,01,111,"Randolph County, AL",1998,,9659,9159,500,5.2
61,CN0111300000000,01,113,"Russell County, AL",1998,,25404,24395,1009,4
62,CN0111500000000,01,115,"St. Clair County, AL",1998,,30519,29632,887,2.9
63,CN0111700000000,01,117,"Shelby County, AL",1998,,79741,78506,1235,1.5
64,CN0111900000000,01,119,"Sumter County, AL",1998,,5650,5105,545,9.6
65,CN0112100000000,01,121,"Talladega County, AL",1998,,34848,32945,1903,5.5
66,CN0112300000000,01,123,"Tallapoosa County, AL",1998,,20305,19398,907,4.5
67,CN0112500000000,01,125,"Tuscaloosa County, AL",1998,,83083,80725,2358,2.8
68,CN0112700000000,01,127,"Walker County, AL",1998,,29375,27647,1728,5.9
69,CN0112900000000,01,129,"Washington County, AL",1998,,6226,5427,799,12.8
70,CN0113100000000,01,131,"Wilcox County, AL",1998,,3769,3265,504,13.4
71,CN0113300000000,01,133,"Winston County, AL",1998,,12661,11934,727,5.7
72,CN0201300000000,02,013,"Aleutians East Borough, AK",1998,,1571,1520,51,3.2
73,CN0201600000000,02,016,"Aleutians West Census Area, AK",1998,,2037,1895,142,7
74,CN0202000000000,02,020,"Anchorage Borough/municipality, AK",1998,,140781,134456,6325,4.5
75,CN0205000000000,02,050,"Bethel Census Area, AK",1998,,6177,5671,506,8.2
76,CN0206000000000,02,060,"Bristol Bay Borough, AK",1998,,508,464,44,8.7
77,CN0206800000000,02,068,"Denali Borough, AK",1998,,1181,1078,103,8.7
78,CN0207000000000,02,070,"Dillingham Census Area, AK",1998,,1762,1637,125,7.1
79,CN0209000000000,02,090,"Fairbanks North Star Borough, AK",1998,,43457,40792,2665,6.1
80,CN0210000000000,02,100,"Haines Borough, AK",1998,,1232,1107,125,10.1
81,CN0211000000000,02,110,"Juneau Borough/city, AK",1998,,16950,15987,963,5.7
82,CN0212200000000,02,122,"Kenai Peninsula Borough, AK",1998,,21668,19366,2302,10.6
83,CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",1998,,7579,6999,580,7.7
84,CN0215000000000,02,150,"Kodiak Island Borough, AK",1998,,6966,6413,553,7.9
85,CN0215800000000,02,158,"Kusilvak Census Area, AK",1998,,2141,1838,303,14.2
86,CN0216400000000,02,164,"Lake and Peninsula Borough, AK",1998,,606,557,49,8.1
87,CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",1998,,28936,26748,2188,7.6
88,CN0218000000000,02,180,"Nome Census Area, AK",1998,,3413,3075,338,9.9
89,CN0218500000000,02,185,"North Slope Borough, AK",1998,,3293,3103,190,5.8
90,CN0218800000000,02,188,"Northwest Arctic Borough, AK",1998,,2209,1950,259,11.7
91,CN0220100000000,02,201,"Prince of Wales-Outer Ketchikan Census Area, AK",1998,,3231,2804,427,13.2
92,CN0222000000000,02,220,"Sitka Borough/city, AK",1998,,4326,4081,245,5.7
93,CN0223200000000,02,232,"Skagway-Hoonah-Angoon Census Area, AK",1998,,2166,1980,186,8.6
94,CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",1998,,2616,2357,259,9.9
95,CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",1998,,5113,4651,462,9
96,CN0228000000000,02,280,"Wrangell-Petersburg Census Area, AK",1998,,3511,3177,334,9.5
