,"Labor Force Data by County, 2015 Annual Averages",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,,,,,,,
1,,State,County,,,,,,,Unemploy-
2,LAUS,FIPS,FIPS,,,,Labor,,,ment Rate
3,Code,Code,Code,County Name/State Abbreviation,Year,,Force,Employed,Unemployed,(%)
4,,,,,,,,,,
5,CN0100100000000,01,001,"Autauga County, AL",2015,,25613,24283,1330,5.2
6,CN0100300000000,01,003,"Baldwin County, AL",2015,,87741,82882,4859,5.5
7,CN0100500000000,01,005,"Barbour County, AL",2015,,8613,7848,765,8.9
8,CN0100700000000,01,007,"Bibb County, AL",2015,,8576,8009,567,6.6
9,CN0100900000000,01,009,"Blount County, AL",2015,,24485,23163,1322,5.4
10,CN0101100000000,01,011,"Bullock County, AL",2015,,4779,4400,379,7.9
11,CN0101300000000,01,013,"Butler County, AL",2015,,9138,8444,694,7.6
12,CN0101500000000,01,015,"Calhoun County, AL",2015,,45928,42699,3229,7
13,CN0101700000000,01,017,"Chambers County, AL",2015,,14980,14076,904,6
14,CN0101900000000,01,019,"Cherokee County, AL",2015,,11162,10554,608,5.4
15,CN0102100000000,01,021,"Chilton County, AL",2015,,19143,18063,1080,5.6
16,CN0102300000000,01,023,"Choctaw County, AL",2015,,4380,3982,398,9.1
17,CN0102500000000,01,025,"Clarke County, AL",2015,,7994,7057,937,11.7
18,CN0102700000000,01,027,"Clay County, AL",2015,,5551,5211,340,6.1
19,CN0102900000000,01,029,"Cleburne County, AL",2015,,5680,5338,342,6
20,CN0103100000000,01,031,"Coffee County, AL",2015,,20279,19071,1208,6
21,CN0103300000000,01,033,"Colbert County, AL",2015,,23613,21743,1870,7.9
22,CN0103500000000,01,035,"Conecuh County, AL",2015,,4683,4251,432,9.2
23,CN0103700000000,01,037,"Coosa County, AL",2015,,4428,4132,296,6.7
24,CN0103900000000,01,039,"Covington County, AL",2015,,15464,14360,1104,7.1
25,CN0104100000000,01,041,"Crenshaw County, AL",2015,,6358,5977,381,6
26,CN0104300000000,01,043,"Cullman County, AL",2015,,36403,34489,1914,5.3
27,CN0104500000000,01,045,"Dale County, AL",2015,,19846,18584,1262,6.4
28,CN0104700000000,01,047,"Dallas County, AL",2015,,15596,14101,1495,9.6
29,CN0104900000000,01,049,"DeKalb County, AL",2015,,28780,27035,1745,6.1
30,CN0105100000000,01,051,"Elmore County, AL",2015,,36760,34914,1846,5
31,CN0105300000000,01,053,"Escambia County, AL",2015,,14604,13578,1026,7
32,CN0105500000000,01,055,"Etowah County, AL",2015,,42703,40064,2639,6.2
33,CN0105700000000,01,057,"Fayette County, AL",2015,,6425,5974,451,7
34,CN0105900000000,01,059,"Franklin County, AL",2015,,13667,12788,879,6.4
35,CN0106100000000,01,061,"Geneva County, AL",2015,,10791,10152,639,5.9
36,CN0106300000000,01,063,"Greene County, AL",2015,,2879,2560,319,11.1
37,CN0106500000000,01,065,"Hale County, AL",2015,,6050,5580,470,7.8
38,CN0106700000000,01,067,"Henry County, AL",2015,,6718,6262,456,6.8
39,CN0106900000000,01,069,"Houston County, AL",2015,,44562,41786,2776,6.2
40,CN0107100000000,01,071,"Jackson County, AL",2015,,23472,21911,1561,6.7
41,CN0107300000000,01,073,"Jefferson County, AL",2015,,311020,293095,17925,5.8
42,CN0107500000000,01,075,"Lamar County, AL",2015,,5618,5263,355,6.3
43,CN0107700000000,01,077,"Lauderdale County, AL",2015,,42662,39705,2957,6.9
44,CN0107900000000,01,079,"Lawrence County, AL",2015,,13679,12622,1057,7.7
45,CN0108100000000,01,081,"Lee County, AL",2015,,70891,67171,3720,5.2
46,CN0108300000000,01,083,"Limestone County, AL",2015,,39962,37775,2187,5.5
47,CN0108500000000,01,085,"Lowndes County, AL",2015,,3828,3387,441,11.5
48,CN0108700000000,01,087,"Macon County, AL",2015,,7972,7330,642,8.1
49,CN0108900000000,01,089,"Madison County, AL",2015,,170963,161591,9372,5.5
50,CN0109100000000,01,091,"Marengo County, AL",2015,,7407,6842,565,7.6
51,CN0109300000000,01,093,"Marion County, AL",2015,,12488,11621,867,6.9
52,CN0109500000000,01,095,"Marshall County, AL",2015,,40405,38067,2338,5.8
53,CN0109700000000,01,097,"Mobile County, AL",2015,,186989,174138,12851,6.9
54,CN0109900000000,01,099,"Monroe County, AL",2015,,7342,6604,738,10.1
55,CN0110100000000,01,101,"Montgomery County, AL",2015,,105091,98690,6401,6.1
56,CN0110300000000,01,103,"Morgan County, AL",2015,,54935,51702,3233,5.9
57,CN0110500000000,01,105,"Perry County, AL",2015,,3486,3138,348,10
58,CN0110700000000,01,107,"Pickens County, AL",2015,,8011,7469,542,6.8
59,CN0110900000000,01,109,"Pike County, AL",2015,,14945,13963,982,6.6
60,CN0111100000000,01,111,"Randolph County, AL",2015,,9437,8880,557,5.9
61,CN0111300000000,01,113,"Russell County, AL",2015,,24116,22685,1431,5.9
62,CN0111500000000,01,115,"St. Clair County, AL",2015,,38582,36569,2013,5.2
63,CN0111700000000,01,117,"Shelby County, AL",2015,,108246,103691,4555,4.2
64,CN0111900000000,01,119,"Sumter County, AL",2015,,5110,4702,408,8
65,CN0112100000000,01,121,"Talladega County, AL",2015,,35147,32839,2308,6.6
66,CN0112300000000,01,123,"Tallapoosa County, AL",2015,,18748,17606,1142,6.1
67,CN0112500000000,01,125,"Tuscaloosa County, AL",2015,,98905,93526,5379,5.4
68,CN0112700000000,01,127,"Walker County, AL",2015,,25572,23726,1846,7.2
69,CN0112900000000,01,129,"Washington County, AL",2015,,6702,6105,597,8.9
70,CN0113100000000,01,131,"Wilcox County, AL",2015,,2825,2411,414,14.7
71,CN0113300000000,01,133,"Winston County, AL",2015,,9379,8673,706,7.5
72,CN0201300000000,02,013,"Aleutians East Borough, AK",2015,,2477,2397,80,3.2
73,CN0201600000000,02,016,"Aleutians West Census Area, AK",2015,,4066,3909,157,3.9
74,CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2015,,156808,148903,7905,5
75,CN0205000000000,02,050,"Bethel Census Area, AK",2015,,7366,6306,1060,14.4
76,CN0206000000000,02,060,"Bristol Bay Borough, AK",2015,,382,346,36,9.4
77,CN0206800000000,02,068,"Denali Borough, AK",2015,,1071,977,94,8.8
78,CN0207000000000,02,070,"Dillingham Census Area, AK",2015,,2042,1844,198,9.7
79,CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2015,,46412,43877,2535,5.5
80,CN0210000000000,02,100,"Haines Borough, AK",2015,,1087,980,107,9.8
81,CN0210500000000,02,105,"Hoonah-Angoon Census Area, AK",2015,,1134,962,172,15.2
82,CN0211000000000,02,110,"Juneau Borough/city, AK",2015,,17095,16289,806,4.7
83,CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2015,,27646,25480,2166,7.8
84,CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2015,,6965,6485,480,6.9
85,CN0215000000000,02,150,"Kodiak Island Borough, AK",2015,,6622,6303,319,4.8
86,CN0215800000000,02,158,"Kusilvak Census Area, AK",2015,,2811,2161,650,23.1
87,CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2015,,646,565,81,12.5
88,CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2015,,46199,42647,3552,7.7
89,CN0218000000000,02,180,"Nome Census Area, AK",2015,,4084,3597,487,11.9
90,CN0218500000000,02,185,"North Slope Borough, AK",2015,,4306,4060,246,5.7
91,CN0218800000000,02,188,"Northwest Arctic Borough, AK",2015,,2911,2445,466,16
92,CN0219500000000,02,195,"Petersburg Borough, AK",2015,,1494,1361,133,8.9
93,CN0219800000000,02,198,"Prince of Wales-Hyder Census Area, AK",2015,,2764,2416,348,12.6
94,CN0222000000000,02,220,"Sitka Borough/city, AK",2015,,4602,4390,212,4.6
95,CN0223000000000,02,230,"Skagway Municipality, AK",2015,,813,719,94,11.6
96,CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2015,,3010,2689,321,10.7
97,CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",2015,,4882,4459,423,8.7
