,"Labor Force Data by County, 1990 Annual Averages",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,,,,,,,
1,,State,County,,,,,,,Unemploy-
2,LAUS,FIPS,FIPS,,,,Labor,,,ment Rate
3,Code,Code,Code,County Name/State Abbreviation,Year,,Force,Employed,Unemployed,(%)
4,,,,,,,,,,
5,CN0100100000000,01,001,"Autauga County, AL",1990,,16908,15813,1095,6.5
6,CN0100300000000,01,003,"Baldwin County, AL",1990,,46824,44379,2445,5.2
7,CN0100500000000,01,005,"Barbour County, AL",1990,,11490,10592,898,7.8
8,CN0100700000000,01,007,"Bibb County, AL",1990,,7434,6758,676,9.1
9,CN0100900000000,01,009,"Blount County, AL",1990,,19168,17955,1213,6.3
10,CN0101100000000,01,011,"Bullock County, AL",1990,,4407,3859,548,12.4
11,CN0101300000000,01,013,"Butler County, AL",1990,,8838,7705,1133,12.8
12,CN0101500000000,01,015,"Calhoun County, AL",1990,,51519,47840,3679,7.1
13,CN0101700000000,01,017,"Chambers County, AL",1990,,17705,16432,1273,7.2
14,CN0101900000000,01,019,"Cherokee County, AL",1990,,9644,8693,951,9.9
15,CN0102100000000,01,021,"Chilton County, AL",1990,,15187,13833,1354,8.9
16,CN0102300000000,01,023,"Choctaw County, AL",1990,,6711,5867,844,12.6
17,CN0102500000000,01,025,"Clarke County, AL",1990,,11711,10756,955,8.2
18,CN0102700000000,01,027,"Clay County, AL",1990,,6338,5889,449,7.1
19,CN0102900000000,01,029,"Cleburne County, AL",1990,,6279,5868,411,6.5
20,CN0103100000000,01,031,"Coffee County, AL",1990,,18836,17647,1189,6.3
21,CN0103300000000,01,033,"Colbert County, AL",1990,,24501,22526,1975,8.1
22,CN0103500000000,01,035,"Conecuh County, AL",1990,,5763,5202,561,9.7
23,CN0103700000000,01,037,"Coosa County, AL",1990,,4983,4663,320,6.4
24,CN0103900000000,01,039,"Covington County, AL",1990,,17161,15834,1327,7.7
25,CN0104100000000,01,041,"Crenshaw County, AL",1990,,6082,5629,453,7.4
26,CN0104300000000,01,043,"Cullman County, AL",1990,,32848,30527,2321,7.1
27,CN0104500000000,01,045,"Dale County, AL",1990,,20535,19384,1151,5.6
28,CN0104700000000,01,047,"Dallas County, AL",1990,,19459,17096,2363,12.1
29,CN0104900000000,01,049,"DeKalb County, AL",1990,,27386,25349,2037,7.4
30,CN0105100000000,01,051,"Elmore County, AL",1990,,22533,21150,1383,6.1
31,CN0105300000000,01,053,"Escambia County, AL",1990,,15003,13706,1297,8.6
32,CN0105500000000,01,055,"Etowah County, AL",1990,,46628,41522,5106,11
33,CN0105700000000,01,057,"Fayette County, AL",1990,,8493,7658,835,9.8
34,CN0105900000000,01,059,"Franklin County, AL",1990,,13641,12098,1543,11.3
35,CN0106100000000,01,061,"Geneva County, AL",1990,,11109,10584,525,4.7
36,CN0106300000000,01,063,"Greene County, AL",1990,,3777,3338,439,11.6
37,CN0106500000000,01,065,"Hale County, AL",1990,,6204,5725,479,7.7
38,CN0106700000000,01,067,"Henry County, AL",1990,,6867,6539,328,4.8
39,CN0106900000000,01,069,"Houston County, AL",1990,,40846,39065,1781,4.4
40,CN0107100000000,01,071,"Jackson County, AL",1990,,23677,21518,2159,9.1
41,CN0107300000000,01,073,"Jefferson County, AL",1990,,311022,295321,15701,5
42,CN0107500000000,01,075,"Lamar County, AL",1990,,7689,7077,612,8
43,CN0107700000000,01,077,"Lauderdale County, AL",1990,,38029,35389,2640,6.9
44,CN0107900000000,01,079,"Lawrence County, AL",1990,,15140,13875,1265,8.4
45,CN0108100000000,01,081,"Lee County, AL",1990,,43457,40802,2655,6.1
46,CN0108300000000,01,083,"Limestone County, AL",1990,,26653,24914,1739,6.5
47,CN0108500000000,01,085,"Lowndes County, AL",1990,,4826,4068,758,15.7
48,CN0108700000000,01,087,"Macon County, AL",1990,,9220,8396,824,8.9
49,CN0108900000000,01,089,"Madison County, AL",1990,,128780,122589,6191,4.8
50,CN0109100000000,01,091,"Marengo County, AL",1990,,9836,9178,658,6.7
51,CN0109300000000,01,093,"Marion County, AL",1990,,14401,12374,2027,14.1
52,CN0109500000000,01,095,"Marshall County, AL",1990,,35256,32102,3154,8.9
53,CN0109700000000,01,097,"Mobile County, AL",1990,,171019,159194,11825,6.9
54,CN0109900000000,01,099,"Monroe County, AL",1990,,10320,9236,1084,10.5
55,CN0110100000000,01,101,"Montgomery County, AL",1990,,100926,94637,6289,6.2
56,CN0110300000000,01,103,"Morgan County, AL",1990,,50464,47234,3230,6.4
57,CN0110500000000,01,105,"Perry County, AL",1990,,4860,4229,631,13
58,CN0110700000000,01,107,"Pickens County, AL",1990,,8606,7818,788,9.2
59,CN0110900000000,01,109,"Pike County, AL",1990,,12309,11564,745,6.1
60,CN0111100000000,01,111,"Randolph County, AL",1990,,9278,8561,717,7.7
61,CN0111300000000,01,113,"Russell County, AL",1990,,21686,19926,1760,8.1
62,CN0111500000000,01,115,"St. Clair County, AL",1990,,23395,22102,1293,5.5
63,CN0111700000000,01,117,"Shelby County, AL",1990,,53271,51538,1733,3.3
64,CN0111900000000,01,119,"Sumter County, AL",1990,,5999,5416,583,9.7
65,CN0112100000000,01,121,"Talladega County, AL",1990,,33647,30550,3097,9.2
66,CN0112300000000,01,123,"Tallapoosa County, AL",1990,,19241,18006,1235,6.4
67,CN0112500000000,01,125,"Tuscaloosa County, AL",1990,,70025,66816,3209,4.6
68,CN0112700000000,01,127,"Walker County, AL",1990,,30210,27387,2823,9.3
69,CN0112900000000,01,129,"Washington County, AL",1990,,6598,5893,705,10.7
70,CN0113100000000,01,131,"Wilcox County, AL",1990,,4239,3714,525,12.4
71,CN0113300000000,01,133,"Winston County, AL",1990,,10482,9241,1241,11.8
72,CN0201300000000,02,013,"Aleutians East Borough, AK",1990,,1303,1298,5,0.4
73,CN0201600000000,02,016,"Aleutians West Census Area, AK",1990,,3542,3525,17,0.5
74,CN0202000000000,02,020,"Anchorage Borough/municipality, AK",1990,,122065,115696,6369,5.2
75,CN0205000000000,02,050,"Bethel Census Area, AK",1990,,4041,3748,293,7.3
76,CN0206000000000,02,060,"Bristol Bay Borough, AK",1990,,473,453,20,4.2
77,CN0206800000000,02,068,"Denali Borough, AK",1990,,992,860,132,13.3
78,CN0207000000000,02,070,"Dillingham Census Area, AK",1990,,1212,1131,81,6.7
79,CN0209000000000,02,090,"Fairbanks North Star Borough, AK",1990,,35580,32503,3077,8.6
80,CN0210000000000,02,100,"Haines Borough, AK",1990,,1084,1006,78,7.2
81,CN0211000000000,02,110,"Juneau Borough/city, AK",1990,,15089,14298,791,5.2
82,CN0212200000000,02,122,"Kenai Peninsula Borough, AK",1990,,18799,16546,2253,12
83,CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",1990,,7432,6845,587,7.9
84,CN0215000000000,02,150,"Kodiak Island Borough, AK",1990,,6300,5964,336,5.3
85,CN0215800000000,02,158,"Kusilvak Census Area, AK",1990,,1365,1200,165,12.1
86,CN0216400000000,02,164,"Lake and Peninsula Borough, AK",1990,,441,414,27,6.1
87,CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",1990,,17861,15691,2170,12.1
88,CN0218000000000,02,180,"Nome Census Area, AK",1990,,3157,2867,290,9.2
89,CN0218500000000,02,185,"North Slope Borough, AK",1990,,2797,2696,101,3.6
90,CN0218800000000,02,188,"Northwest Arctic Borough, AK",1990,,2105,1791,314,14.9
91,CN0220100000000,02,201,"Prince of Wales-Outer Ketchikan Census Area, AK",1990,,2883,2563,320,11.1
92,CN0222000000000,02,220,"Sitka Borough/city, AK",1990,,4463,4232,231,5.2
93,CN0223200000000,02,232,"Skagway-Hoonah-Angoon Census Area, AK",1990,,2506,2247,259,10.3
94,CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",1990,,2228,1944,284,12.7
95,CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",1990,,5170,4585,585,11.3
96,CN0228000000000,02,280,"Wrangell-Petersburg Census Area, AK",1990,,3589,3274,315,8.8
