,"Labor Force Data by County, 2013 Annual Averages",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,,,,,,,
1,,State,County,,,,,,,Unemploy-
2,LAUS,FIPS,FIPS,,,,Labor,,,ment Rate
3,Code,Code,Code,County Name/State Abbreviation,Year,,Force,Employed,Unemployed,(%)
4,,,,,,,,,,
5,CN0100100000000,01,001,"Autauga County, AL",2013,,25810,24205,1605,6.2
6,CN0100300000000,01,003,"Baldwin County, AL",2013,,85280,79626,5654,6.6
7,CN0100500000000,01,005,"Barbour County, AL",2013,,9099,8168,931,10.2
8,CN0100700000000,01,007,"Bibb County, AL",2013,,8705,8016,689,7.9
9,CN0100900000000,01,009,"Blount County, AL",2013,,24887,23325,1562,6.3
10,CN0101100000000,01,011,"Bullock County, AL",2013,,4778,4331,447,9.4
11,CN0101300000000,01,013,"Butler County, AL",2013,,9147,8206,941,10.3
12,CN0101500000000,01,015,"Calhoun County, AL",2013,,48405,44163,4242,8.8
13,CN0101700000000,01,017,"Chambers County, AL",2013,,15275,14058,1217,8
14,CN0101900000000,01,019,"Cherokee County, AL",2013,,11403,10649,754,6.6
15,CN0102100000000,01,021,"Chilton County, AL",2013,,19359,18090,1269,6.6
16,CN0102300000000,01,023,"Choctaw County, AL",2013,,4703,4270,433,9.2
17,CN0102500000000,01,025,"Clarke County, AL",2013,,8285,7145,1140,13.8
18,CN0102700000000,01,027,"Clay County, AL",2013,,5393,4943,450,8.3
19,CN0102900000000,01,029,"Cleburne County, AL",2013,,5830,5383,447,7.7
20,CN0103100000000,01,031,"Coffee County, AL",2013,,20516,19105,1411,6.9
21,CN0103300000000,01,033,"Colbert County, AL",2013,,23896,21937,1959,8.2
22,CN0103500000000,01,035,"Conecuh County, AL",2013,,4695,4191,504,10.7
23,CN0103700000000,01,037,"Coosa County, AL",2013,,4452,4044,408,9.2
24,CN0103900000000,01,039,"Covington County, AL",2013,,16066,14768,1298,8.1
25,CN0104100000000,01,041,"Crenshaw County, AL",2013,,6311,5828,483,7.7
26,CN0104300000000,01,043,"Cullman County, AL",2013,,35783,33402,2381,6.7
27,CN0104500000000,01,045,"Dale County, AL",2013,,20750,19220,1530,7.4
28,CN0104700000000,01,047,"Dallas County, AL",2013,,16293,14301,1992,12.2
29,CN0104900000000,01,049,"DeKalb County, AL",2013,,29033,26823,2210,7.6
30,CN0105100000000,01,051,"Elmore County, AL",2013,,36930,34658,2272,6.2
31,CN0105300000000,01,053,"Escambia County, AL",2013,,14292,13065,1227,8.6
32,CN0105500000000,01,055,"Etowah County, AL",2013,,43862,40538,3324,7.6
33,CN0105700000000,01,057,"Fayette County, AL",2013,,6406,5875,531,8.3
34,CN0105900000000,01,059,"Franklin County, AL",2013,,13678,12578,1100,8
35,CN0106100000000,01,061,"Geneva County, AL",2013,,11044,10276,768,7
36,CN0106300000000,01,063,"Greene County, AL",2013,,2997,2614,383,12.8
37,CN0106500000000,01,065,"Hale County, AL",2013,,6208,5486,722,11.6
38,CN0106700000000,01,067,"Henry County, AL",2013,,6954,6421,533,7.7
39,CN0106900000000,01,069,"Houston County, AL",2013,,45711,42553,3158,6.9
40,CN0107100000000,01,071,"Jackson County, AL",2013,,23687,21822,1865,7.9
41,CN0107300000000,01,073,"Jefferson County, AL",2013,,315405,294426,20979,6.7
42,CN0107500000000,01,075,"Lamar County, AL",2013,,5802,5394,408,7
43,CN0107700000000,01,077,"Lauderdale County, AL",2013,,43150,40083,3067,7.1
44,CN0107900000000,01,079,"Lawrence County, AL",2013,,14282,13093,1189,8.3
45,CN0108100000000,01,081,"Lee County, AL",2013,,70523,66379,4144,5.9
46,CN0108300000000,01,083,"Limestone County, AL",2013,,39435,36969,2466,6.3
47,CN0108500000000,01,085,"Lowndes County, AL",2013,,4009,3443,566,14.1
48,CN0108700000000,01,087,"Macon County, AL",2013,,8414,7603,811,9.6
49,CN0108900000000,01,089,"Madison County, AL",2013,,171363,160551,10812,6.3
50,CN0109100000000,01,091,"Marengo County, AL",2013,,7634,6955,679,8.9
51,CN0109300000000,01,093,"Marion County, AL",2013,,12487,11499,988,7.9
52,CN0109500000000,01,095,"Marshall County, AL",2013,,40614,37841,2773,6.8
53,CN0109700000000,01,097,"Mobile County, AL",2013,,187046,171088,15958,8.5
54,CN0109900000000,01,099,"Monroe County, AL",2013,,7766,6843,923,11.9
55,CN0110100000000,01,101,"Montgomery County, AL",2013,,106360,98613,7747,7.3
56,CN0110300000000,01,103,"Morgan County, AL",2013,,57001,53090,3911,6.9
57,CN0110500000000,01,105,"Perry County, AL",2013,,3566,3083,483,13.5
58,CN0110700000000,01,107,"Pickens County, AL",2013,,7420,6727,693,9.3
59,CN0110900000000,01,109,"Pike County, AL",2013,,14924,13785,1139,7.6
60,CN0111100000000,01,111,"Randolph County, AL",2013,,9212,8498,714,7.8
61,CN0111300000000,01,113,"Russell County, AL",2013,,25018,23208,1810,7.2
62,CN0111500000000,01,115,"St. Clair County, AL",2013,,38835,36455,2380,6.1
63,CN0111700000000,01,117,"Shelby County, AL",2013,,107004,102054,4950,4.6
64,CN0111900000000,01,119,"Sumter County, AL",2013,,5463,4969,494,9
65,CN0112100000000,01,121,"Talladega County, AL",2013,,35771,32700,3071,8.6
66,CN0112300000000,01,123,"Tallapoosa County, AL",2013,,18399,16909,1490,8.1
67,CN0112500000000,01,125,"Tuscaloosa County, AL",2013,,95678,89602,6076,6.4
68,CN0112700000000,01,127,"Walker County, AL",2013,,26364,24136,2228,8.5
69,CN0112900000000,01,129,"Washington County, AL",2013,,6714,5985,729,10.9
70,CN0113100000000,01,131,"Wilcox County, AL",2013,,2780,2244,536,19.3
71,CN0113300000000,01,133,"Winston County, AL",2013,,9644,8737,907,9.4
72,CN0201300000000,02,013,"Aleutians East Borough, AK",2013,,2217,2083,134,6
73,CN0201600000000,02,016,"Aleutians West Census Area, AK",2013,,4272,3976,296,6.9
74,CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2013,,158401,150169,8232,5.2
75,CN0205000000000,02,050,"Bethel Census Area, AK",2013,,7424,6224,1200,16.2
76,CN0206000000000,02,060,"Bristol Bay Borough, AK",2013,,491,448,43,8.8
77,CN0206800000000,02,068,"Denali Borough, AK",2013,,1078,943,135,12.5
78,CN0207000000000,02,070,"Dillingham Census Area, AK",2013,,2134,1916,218,10.2
79,CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2013,,47286,44514,2772,5.9
80,CN0210000000000,02,100,"Haines Borough, AK",2013,,1142,1026,116,10.2
81,CN0210500000000,02,105,"Hoonah-Angoon Census Area, AK",2013,,1124,959,165,14.7
82,CN0211000000000,02,110,"Juneau Borough/city, AK",2013,,17589,16702,887,5
83,CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2013,,27831,25592,2239,8
84,CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2013,,7168,6606,562,7.8
85,CN0215000000000,02,150,"Kodiak Island Borough, AK",2013,,6594,6183,411,6.2
86,CN0215800000000,02,158,"Kusilvak Census Area, AK",2013,,2782,2124,658,23.7
87,CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2013,,638,539,99,15.5
88,CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2013,,43925,40253,3672,8.4
89,CN0218000000000,02,180,"Nome Census Area, AK",2013,,4142,3631,511,12.3
90,CN0218500000000,02,185,"North Slope Borough, AK",2013,,4072,3772,300,7.4
91,CN0218800000000,02,188,"Northwest Arctic Borough, AK",2013,,3068,2564,504,16.4
92,CN0219500000000,02,195,"Petersburg Borough, AK",2013,,1659,1515,144,8.7
93,CN0219800000000,02,198,"Prince of Wales-Hyder Census Area, AK",2013,,2811,2468,343,12.2
94,CN0222000000000,02,220,"Sitka Borough/city, AK",2013,,4625,4371,254,5.5
95,CN0223000000000,02,230,"Skagway Municipality, AK",2013,,794,695,99,12.5
96,CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2013,,3013,2617,396,13.1
97,CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",2013,,4934,4444,490,9.9
